Species,Diet
Lemmus trimucronatus,Herbivore
Lenoxus apicalis,Omnivore
Lophiomys imhausi,Herbivore
Loxodontomys micropus,Herbivore
Loxodontomys pikumche,Herbivore
Lundomys molitor,Herbivore
Megadontomys cryophilus,Herbivore
Megadontomys nelsoni,Herbivore
Megadontomys thomasi,Herbivore
Megalomys desmarestii,Omnivore
Megalomys luciae,Omnivore
Megaoryzomys curioi,Omnivore
Melanomys caliginosus,Omnivore
Melanomys robustulus,Omnivore
Melanomys zunigae,Omnivore
Mesocricetus auratus,Omnivore
Mesocricetus brandti,Omnivore
Mesocricetus newtoni,Omnivore
Mesocricetus raddei,Herbivore
Microakodontomys transitorius,Herbivore
Microryzomys altissimus,Omnivore
Microryzomys minutus,Herbivore
Microtus abbreviatus,Herbivore
Microtus agrestis,Herbivore
Microtus anatolicus,Herbivore
Microtus arvalis,Herbivore
Microtus bavaricus,Herbivore
Microtus brachycercus,Herbivore
Microtus breweri,Herbivore
Microtus cabrerae,Herbivore
Microtus californicus,Herbivore
Microtus canicaudus,Herbivore
Microtus chrotorrhinus,Herbivore
Microtus clarkei,Herbivore
Microtus daghestanicus,Herbivore
Microtus dogramacii,Herbivore
Microtus duodecimcostatus,Herbivore
Microtus evoronensis,Herbivore
Microtus felteni,Herbivore
Microtus fortis,Herbivore
Microtus gerbei,Herbivore
Microtus gregalis,Herbivore
Microtus guatemalensis,Herbivore
Microtus guentheri,Herbivore
Microtus hyperboreus,Herbivore
Microtus ilaeus,Herbivore
Microtus irani,Herbivore
Microtus kikuchii,Herbivore
Microtus levis,Herbivore
Microtus liechtensteini,Herbivore
Microtus limnophilus,Herbivore
Microtus longicaudus,Herbivore
Microtus lusitanicus,Herbivore
Microtus majori,Herbivore
Microtus maximowiczii,Herbivore
Microtus mexicanus,Herbivore
Microtus middendorffii,Herbivore
Microtus miurus,Herbivore
Microtus mongolicus,Herbivore
Microtus montanus,Herbivore
Microtus montebelli,Herbivore
Microtus mujanensis,Herbivore
Microtus multiplex,Herbivore
Microtus nasarovi,Herbivore
Microtus oaxacensis,Herbivore
Microtus ochrogaster,Omnivore
Microtus oeconomus,Herbivore
Microtus oregoni,Herbivore
Microtus paradoxus,Herbivore
Microtus pennsylvanicus,Herbivore
Microtus pinetorum,Herbivore
Microtus qazvinensis,Herbivore
Microtus quasiater,Herbivore
Microtus richardsoni,Omnivore
Microtus sachalinensis,Omnivore
Microtus savii,Herbivore
Microtus schelkovnikovi,Herbivore
Microtus schidlovskii,Herbivore
Microtus socialis,Herbivore
Microtus subterraneus,Herbivore
Microtus tatricus,Herbivore
Microtus thomasi,Herbivore
Microtus townsendii,Herbivore
Microtus transcaspicus,Herbivore
Microtus umbrosus,Herbivore
Microtus xanthognathus,Herbivore
Mindomys hammondi,Omnivore
Myodes andersoni,Omnivore
Myodes californicus,Omnivore
Myodes centralis,Herbivore
Myodes gapperi,Omnivore
Myodes glareolus,Omnivore
Myodes regulus,Omnivore
Myodes rex,Omnivore
Myodes rufocanus,Herbivore
Myodes rutilus,Herbivore
Myodes shanseius,Herbivore
Myodes smithii,Omnivore
Myopus schisticolor,Herbivore
Neacomys dubosti,Omnivore
Neacomys guianae,Omnivore
Neacomys minutus,Omnivore
Neacomys musseri,Omnivore
Neacomys paracou,Omnivore
Neacomys pictus,Omnivore
Neacomys spinosus,Omnivore
Neacomys tenuipes,Omnivore
Necromys amoenus,Omnivore
Necromys benefactus,Omnivore
Necromys lactens,Omnivore
Necromys lasiurus,Omnivore
Necromys lenguarum,Omnivore
Necromys obscurus,Omnivore
Necromys punctulatus,Omnivore
Necromys temchuki,Omnivore
Necromys urichi,Herbivore
Nectomys apicalis,Omnivore
Nectomys magdalenae,Omnivore
Nectomys palmipes,Omnivore
Nectomys rattus,Herbivore
Nectomys squamipes,Carnivore
Nelsonia goldmani,Herbivore
Nelsonia neotomodon,Herbivore
Neodon forresti,Herbivore
Neodon irene,Herbivore
Neodon juldaschi,Herbivore
Neodon sikimensis,Herbivore
Neofiber alleni,Herbivore
Neotoma albigula,Herbivore
Neotoma angustapalata,Herbivore
Neotoma anthonyi,Herbivore
Neotoma bryanti,Herbivore
Neotoma bunkeri,Herbivore
Neotoma chrysomelas,Herbivore
Neotoma cinerea,Herbivore
Neotoma devia,Herbivore
Neotoma floridana,Herbivore
Neotoma fuscipes,Herbivore
Neotoma goldmani,Herbivore
Neotoma lepida,Herbivore
Neotoma leucodon,Herbivore
Neotoma macrotis,Herbivore
Neotoma magister,Herbivore
Neotoma martinensis,Herbivore
Neotoma mexicana,Herbivore
Neotoma micropus,Herbivore
Neotoma nelsoni,Herbivore
Neotoma palatina,Herbivore
Neotoma phenax,Herbivore
Neotoma stephensi,Herbivore
Neotomodon alstoni,Omnivore
Neotomys ebriosus,Herbivore
Nephelomys albigularis,Omnivore
Nephelomys auriventer,Omnivore
Nephelomys caracolus,Omnivore
Nephelomys devius,Herbivore
Nephelomys keaysi,Omnivore
Nephelomys levipes,Omnivore
Nephelomys meridensis,Omnivore
Nesoryzomys darwini,Omnivore
Nesoryzomys fernandinae,Omnivore
Nesoryzomys indefessus,Omnivore
Nesoryzomys narboroughi,Omnivore
Nesoryzomys swarthi,Omnivore
Neusticomys ferreirai,Carnivore
Neusticomys monticolus,Carnivore
Neusticomys mussoi,Carnivore
Neusticomys oyapocki,Carnivore
Neusticomys peruviensis,Carnivore
Neusticomys venezuelae,Carnivore
Noronhomys vespuccii,Omnivore
Notiomys edwardsii,Carnivore
Nyctomys sumichrasti,Herbivore
Ochrotomys nuttalli,Herbivore
Oecomys auyantepui,Omnivore
Oecomys bicolor,Omnivore
Oecomys catherinae,Omnivore
Oecomys cleberi,Omnivore
Oecomys concolor,Omnivore
Oecomys flavicans,Herbivore
Oecomys mamorae,Herbivore
Oecomys paricola,Omnivore
Oecomys phaeotis,Omnivore
Oecomys rex,Omnivore
Oecomys roberti,Omnivore
Oecomys rutilus,Omnivore
Oecomys speciosus,Omnivore
Oecomys superans,Omnivore
Oecomys trinitatis,Omnivore
Oligoryzomys andinus,Omnivore
Oligoryzomys arenalis,Omnivore
Oligoryzomys brendae,Omnivore
Oligoryzomys chacoensis,Omnivore
Oligoryzomys delticola,Omnivore
Oligoryzomys destructor,Omnivore
Oligoryzomys eliurus,Omnivore
Oligoryzomys flavescens,Herbivore
Oligoryzomys fornesi,Omnivore
Oligoryzomys fulvescens,Omnivore
Oligoryzomys griseolus,Omnivore
Oligoryzomys longicaudatus,Omnivore
Oligoryzomys magellanicus,Omnivore
Oligoryzomys microtis,Omnivore
Oligoryzomys moojeni,Omnivore
Oligoryzomys nigripes,Herbivore
Oligoryzomys rupestris,Omnivore
Oligoryzomys stramineus,Omnivore
Oligoryzomys vegetus,Omnivore
Oligoryzomys victus,Omnivore
Ondatra zibethicus,Herbivore
Onychomys arenicola,Carnivore
Onychomys leucogaster,Carnivore
Onychomys torridus,Carnivore
Oreoryzomys balneator,Omnivore
Oryzomys antillarum,Omnivore
Oryzomys couesi,Omnivore
Oryzomys curasoae,Omnivore
Oryzomys dimidiatus,Omnivore
Oryzomys gorgasi,Omnivore
Oryzomys nelsoni,Herbivore
Oryzomys palustris,Omnivore
Osgoodomys banderanus,Omnivore
Otonyctomys hatti,Herbivore
Ototylomys phyllotis,Herbivore
Oxymycterus akodontius,Omnivore
Oxymycterus amazonicus,Omnivore
Oxymycterus angularis,Omnivore
Oxymycterus caparoae,Omnivore
Oxymycterus dasytrichus,Omnivore
Oxymycterus delator,Carnivore
Oxymycterus hiska,Carnivore
Oxymycterus hispidus,Omnivore
Oxymycterus hucucha,Carnivore
Oxymycterus inca,Omnivore
Oxymycterus josei,Omnivore
Oxymycterus nasutus,Omnivore
Oxymycterus paramensis,Carnivore
Oxymycterus quaestor,Omnivore
Oxymycterus roberti,Omnivore
Oxymycterus rufus,Omnivore
Paralomys gerbillus,Omnivore
Pearsonomys annectens,Carnivore
Peromyscus attwateri,Omnivore
Peromyscus aztecus,Carnivore
Peromyscus beatae,Carnivore
Peromyscus boylii,Omnivore
Peromyscus bullatus,Omnivore
Peromyscus californicus,Omnivore
Peromyscus caniceps,Omnivore
Peromyscus crinitus,Omnivore
Peromyscus dickeyi,Omnivore
Peromyscus difficilis,Omnivore
Peromyscus eremicus,Omnivore
Peromyscus eva,Omnivore
Peromyscus fraterculus,Omnivore
Peromyscus furvus,Omnivore
Peromyscus gossypinus,Omnivore
Peromyscus grandis,Omnivore
Peromyscus gratus,Omnivore
Peromyscus guardia,Omnivore
Peromyscus guatemalensis,Omnivore
Peromyscus gymnotis,Omnivore
Peromyscus hooperi,Omnivore
Peromyscus hylocetes,Omnivore
Peromyscus interparietalis,Omnivore
Peromyscus keeni,Omnivore
Peromyscus leucopus,Omnivore
Peromyscus levipes,Omnivore
Peromyscus madrensis,Omnivore
Peromyscus maniculatus,Herbivore
Peromyscus mayensis,Omnivore
Peromyscus megalops,Omnivore
Peromyscus mekisturus,Omnivore
Peromyscus melanocarpus,Omnivore
Peromyscus melanophrys,Herbivore
Peromyscus melanotis,Omnivore
Peromyscus melanurus,Omnivore
Peromyscus merriami,Omnivore
Peromyscus mexicanus,Omnivore
Peromyscus nasutus,Omnivore
Peromyscus ochraventer,Omnivore
Peromyscus pectoralis,Omnivore
Peromyscus pembertoni,Omnivore
Peromyscus perfulvus,Omnivore
Peromyscus polionotus,Omnivore
Peromyscus polius,Omnivore
Peromyscus pseudocrinitus,Omnivore
Peromyscus sagax,Omnivore
Peromyscus schmidlyi,Omnivore
Peromyscus sejugis,Omnivore
Peromyscus simulus,Omnivore
Peromyscus slevini,Omnivore
Peromyscus spicilegus,Omnivore
Peromyscus stephani,Omnivore
Peromyscus stirtoni,Omnivore
Peromyscus truei,Omnivore
Peromyscus winkelmanni,Omnivore
Peromyscus yucatanicus,Omnivore
Peromyscus zarhynchus,Omnivore
Phaenomys ferrugineus,Omnivore
Phaiomys leucurus,Omnivore
Phenacomys intermedius,Herbivore
Phenacomys ungava,Herbivore
Phodopus campbelli,Herbivore
Phodopus roborovskii,Herbivore
Phodopus sungorus,Omnivore
Phyllotis amicus,Herbivore
Phyllotis andium,Omnivore
Phyllotis anitae,Herbivore
Phyllotis bonariensis,Herbivore
Phyllotis caprinus,Herbivore
Phyllotis darwini,Herbivore
Phyllotis definitus,Herbivore
Phyllotis haggardi,Herbivore
Phyllotis limatus,Herbivore
Phyllotis magister,Herbivore
Phyllotis osgoodi,Herbivore
Phyllotis osilae,Herbivore
Phyllotis wolffsohni,Herbivore
Phyllotis xanthopygus,Herbivore
Podomys floridanus,Omnivore
Podoxymys roraimae,Omnivore
Proedromys bedfordi,Omnivore
Proedromys liangshanensis,Omnivore
Prometheomys schaposchnikowi,Herbivore
Pseudoryzomys simplex,Omnivore
Punomys kofordi,Herbivore
Punomys lemminus,Herbivore
Reithrodon auritus,Herbivore
Reithrodon typicus,Herbivore
Reithrodontomys bakeri,Herbivore
Reithrodontomys brevirostris,Herbivore
Reithrodontomys burti,Herbivore
Reithrodontomys chrysopsis,Herbivore
Reithrodontomys creper,Herbivore
Reithrodontomys darienensis,Herbivore
Reithrodontomys fulvescens,Omnivore
Reithrodontomys gracilis,Herbivore
Reithrodontomys hirsutus,Herbivore
Reithrodontomys humulis,Omnivore
Reithrodontomys megalotis,Omnivore
Reithrodontomys mexicanus,Herbivore
Reithrodontomys microdon,Herbivore
Reithrodontomys montanus,Omnivore
Reithrodontomys paradoxus,Herbivore
Reithrodontomys raviventris,Herbivore
Reithrodontomys rodriguezi,Herbivore
Reithrodontomys spectabilis,Herbivore
Reithrodontomys sumichrasti,Herbivore
Reithrodontomys tenuirostris,Herbivore
Reithrodontomys zacatecae,Herbivore
Rhagomys longilingua,Omnivore
Rhagomys rufescens,Omnivore
Rheomys mexicanus,Carnivore
Rheomys raptor,Carnivore
Rheomys thomasi,Carnivore
Rheomys underwoodi,Carnivore
Rhipidomys austrinus,Omnivore
Rhipidomys cariri,Omnivore
Rhipidomys caucensis,Omnivore
Rhipidomys couesi,Omnivore
Rhipidomys emiliae,Omnivore
Rhipidomys fulviventer,Omnivore
Rhipidomys gardneri,Omnivore
Rhipidomys latimanus,Omnivore
Rhipidomys leucodactylus,Omnivore
Rhipidomys macconnelli,Omnivore
Rhipidomys macrurus,Omnivore
Rhipidomys mastacalis,Omnivore
Rhipidomys modicus,Omnivore
Rhipidomys nitela,Omnivore
Rhipidomys ochrogaster,Omnivore
Rhipidomys venezuelae,Omnivore
Rhipidomys venustus,Omnivore
Rhipidomys wetzeli,Omnivore
Salinomys delicatus,Omnivore
Scapteromys aquaticus,Omnivore
Scapteromys tumidus,Omnivore
Scolomys melanops,Omnivore
Scolomys ucayalensis,Omnivore
Scotinomys teguina,Carnivore
Scotinomys xerampelinus,Carnivore
Sigmodon alleni,Omnivore
Sigmodon alstoni,Herbivore
Sigmodon arizonae,Omnivore
Sigmodon fulviventer,Omnivore
Sigmodon hirsutus,Herbivore
Sigmodon hispidus,Omnivore
Sigmodon inopinatus,Omnivore
Sigmodon leucotis,Omnivore
Sigmodon mascotensis,Omnivore
Sigmodon ochrognathus,Herbivore
Sigmodon peruanus,Herbivore
Sigmodon planifrons,Omnivore
Sigmodon toltecus,Omnivore
Sigmodontomys alfari,Herbivore
Sigmodontomys aphrastus,Omnivore
Sooretamys angouya,Omnivore
Synaptomys borealis,Herbivore
Synaptomys cooperi,Herbivore
Tapecomys primus,Omnivore
Thalpomys cerradensis,Omnivore
Thalpomys lasiotis,Omnivore
Thaptomys nigrita,Carnivore
Thomasomys apeco,Omnivore
Thomasomys aureus,Omnivore
Thomasomys baeops,Omnivore
Thomasomys bombycinus,Omnivore
Thomasomys caudivarius,Omnivore
Thomasomys cinereiventer,Omnivore
Thomasomys cinereus,Omnivore
Thomasomys cinnameus,Omnivore
Thomasomys daphne,Omnivore
Thomasomys eleusis,Omnivore
Thomasomys erro,Omnivore
Thomasomys gracilis,Omnivore
Thomasomys hudsoni,Omnivore
Thomasomys hylophilus,Omnivore
Thomasomys incanus,Omnivore
Thomasomys ischyrus,Omnivore
Thomasomys kalinowskii,Omnivore
Thomasomys ladewi,Omnivore
Thomasomys laniger,Omnivore
Thomasomys macrotis,Omnivore
Thomasomys monochromos,Omnivore
Thomasomys niveipes,Omnivore
Thomasomys notatus,Omnivore
Thomasomys onkiro,Omnivore
Thomasomys oreas,Omnivore
Thomasomys paramorum,Omnivore
Thomasomys popayanus,Omnivore
Thomasomys praetor,Omnivore
Thomasomys pyrrhonotus,Omnivore
Thomasomys rhoadsi,Omnivore
Thomasomys rosalinda,Omnivore
Thomasomys silvestris,Omnivore
Thomasomys taczanowskii,Omnivore
Thomasomys ucucha,Omnivore
Thomasomys vestitus,Omnivore
Thomasomys vulcani,Omnivore
Transandinomys bolivaris,Omnivore
Transandinomys talamancae,Omnivore
Tscherskia triton,Herbivore
Tylomys bullaris,Herbivore
Tylomys fulviventer,Herbivore
Tylomys mirae,Herbivore
Tylomys nudicaudus,Herbivore
Tylomys panamensis,Herbivore
Tylomys tumbalensis,Herbivore
Tylomys watsoni,Herbivore
Volemys millicens,Omnivore
Volemys musseri,Omnivore
Wiedomys cerradensis,Omnivore
Wiedomys pyrrhorhinos,Omnivore
Wilfredomys oenax,Herbivore
Xenomys nelsoni,Omnivore
Zygodontomys brevicauda,Herbivore
Zygodontomys brunneus,Herbivore
Ctenodactylus gundi,Herbivore
Ctenodactylus vali,Herbivore
Felovia vae,Herbivore
Massoutiera mzabi,Herbivore
Pectinator spekei,Herbivore
Ctenomys argentinus,Herbivore
Ctenomys australis,Herbivore
Ctenomys azarae,Herbivore
Ctenomys bergi,Herbivore
Ctenomys boliviensis,Herbivore
Ctenomys bonettoi,Herbivore
Ctenomys brasiliensis,Herbivore
Ctenomys budini,Herbivore
Ctenomys colburni,Herbivore
Ctenomys coludo,Herbivore
Ctenomys conoveri,Herbivore
Ctenomys coyhaiquensis,Herbivore
Ctenomys dorbignyi,Herbivore
Ctenomys dorsalis,Herbivore
Ctenomys emilianus,Herbivore
Ctenomys famosus,Herbivore
Ctenomys flamarioni,Herbivore
Ctenomys fochi,Herbivore
Ctenomys fodax,Herbivore
Ctenomys frater,Herbivore
Ctenomys fulvus,Herbivore
Ctenomys goodfellowi,Herbivore
Ctenomys haigi,Herbivore
Ctenomys johannis,Herbivore
Ctenomys juris,Herbivore
Ctenomys knighti,Herbivore
Ctenomys lami,Herbivore
Ctenomys latro,Herbivore
Ctenomys leucodon,Herbivore
Ctenomys lewisi,Herbivore
Ctenomys magellanicus,Herbivore
Ctenomys maulinus,Herbivore
Ctenomys mendocinus,Herbivore
Ctenomys minutus,Herbivore
Ctenomys occultus,Herbivore
Ctenomys opimus,Herbivore
Ctenomys osvaldoreigi,Herbivore
Ctenomys pearsoni,Herbivore
Ctenomys perrensi,Herbivore
Ctenomys peruanus,Herbivore
Ctenomys pilarensis,Herbivore
Ctenomys pontifex,Herbivore
Ctenomys porteousi,Herbivore
Ctenomys pundti,Herbivore
Ctenomys rionegrensis,Herbivore
Ctenomys roigi,Herbivore
Ctenomys saltarius,Herbivore
Ctenomys scagliai,Herbivore
Ctenomys sericeus,Herbivore
Ctenomys sociabilis,Herbivore
Ctenomys steinbachi,Herbivore
Ctenomys sylvanus,Herbivore
Ctenomys talarum,Herbivore
Ctenomys torquatus,Herbivore
Ctenomys tuconax,Herbivore
Ctenomys tucumanus,Herbivore
Ctenomys tulduco,Herbivore
Ctenomys validus,Herbivore
Ctenomys viperinus,Herbivore
Ctenomys yolandae,Herbivore
Cuniculus paca,Herbivore
Cuniculus taczanowskii,Omnivore
Cyclopes didactylus,Carnivore
Cynocephalus volans,Herbivore
Galeopterus variegatus,Herbivore
Cabassous centralis,Carnivore
Cabassous chacoensis,Carnivore
Cabassous tatouay,Carnivore
Cabassous unicinctus,Carnivore
Chaetophractus nationi,Omnivore
Chaetophractus vellerosus,Omnivore
Chaetophractus villosus,Omnivore
Chlamyphorus retusus,Omnivore
Chlamyphorus truncatus,Omnivore
Dasypus hybridus,Carnivore
Dasypus kappleri,Carnivore
Dasypus novemcinctus,Carnivore
Dasypus pilosus,Carnivore
Dasypus sabanicola,Carnivore
Dasypus septemcinctus,Carnivore
Dasypus yepesi,Carnivore
Euphractus sexcinctus,Omnivore
Priodontes maximus,Carnivore
Tolypeutes matacus,Omnivore
Tolypeutes tricinctus,Omnivore
Zaedyus pichiy,Omnivore
Dasyprocta azarae,Herbivore
Dasyprocta coibae,Herbivore
Dasyprocta cristata,Herbivore
Dasyprocta fuliginosa,Herbivore
Dasyprocta guamara,Herbivore
Dasyprocta kalinowskii,Herbivore
Dasyprocta leporina,Herbivore
Dasyprocta mexicana,Herbivore
Dasyprocta prymnolopha,Herbivore
Dasyprocta punctata,Herbivore
Dasyprocta ruatanica,Herbivore
Myoprocta acouchy,Herbivore
Myoprocta pratti,Herbivore
Antechinomys laniger,Carnivore
Antechinus adustus,Carnivore
Antechinus agilis,Carnivore
Antechinus bellus,Carnivore
Antechinus flavipes,Carnivore
Antechinus godmani,Carnivore
Antechinus leo,Carnivore
Antechinus minimus,Carnivore
Antechinus stuartii,Carnivore
Antechinus subtropicus,Carnivore
Antechinus swainsonii,Carnivore
Dasycercus blythi,Carnivore
Dasycercus cristicauda,Carnivore
Dasykaluta rosamondae,Carnivore
Dasyuroides byrnei,Carnivore
Dasyurus albopunctatus,Carnivore
Dasyurus geoffroii,Carnivore
Dasyurus hallucatus,Carnivore
Dasyurus maculatus,Omnivore
Dasyurus spartacus,Omnivore
Dasyurus viverrinus,Omnivore
Murexia habbema,Carnivore
Murexia longicaudata,Carnivore
Murexia melanurus,Carnivore
Murexia naso,Carnivore
Murexia rothschildi,Carnivore
Myoictis leucura,Carnivore
Myoictis melas,Carnivore
Myoictis wallacei,Carnivore
Myoictis wavicus,Carnivore
Neophascogale lorentzii,Carnivore
Ningaui ridei,Omnivore
Ningaui timealeyi,Omnivore
Ningaui yvonneae,Carnivore
Parantechinus apicalis,Carnivore
Phascogale calura,Omnivore
Phascogale pirata,Carnivore
Phascogale tapoatafa,Omnivore
Phascolosorex doriae,Carnivore
Phascolosorex dorsalis,Carnivore
Planigale gilesi,Carnivore
Planigale ingrami,Carnivore
Planigale maculata,Carnivore
Planigale novaeguineae,Carnivore
Planigale tenuirostris,Carnivore
Pseudantechinus bilarni,Carnivore
Pseudantechinus macdonnellensis,Carnivore
Pseudantechinus mimulus,Carnivore
Pseudantechinus ningbing,Carnivore
Pseudantechinus roryi,Carnivore
Pseudantechinus woolleyae,Carnivore
Sarcophilus harrisii,Carnivore
Sminthopsis aitkeni,Carnivore
Sminthopsis archeri,Carnivore
Sminthopsis bindi,Carnivore
Sminthopsis butleri,Carnivore
Sminthopsis crassicaudata,Carnivore
Sminthopsis dolichura,Carnivore
Sminthopsis douglasi,Carnivore
Sminthopsis fuliginosus,Carnivore
Sminthopsis gilberti,Carnivore
Sminthopsis granulipes,Carnivore
Sminthopsis griseoventer,Carnivore
Sminthopsis hirtipes,Carnivore
Sminthopsis leucopus,Carnivore
Sminthopsis longicaudata,Carnivore
Sminthopsis macroura,Carnivore
Sminthopsis murina,Carnivore
Sminthopsis ooldea,Carnivore
Sminthopsis psammophila,Carnivore
Sminthopsis virginiae,Carnivore
Sminthopsis youngsoni,Carnivore
Daubentonia madagascariensis,Omnivore
Laonastes aenigmamus,Herbivore
Caluromys derbianus,Omnivore
Caluromys lanatus,Herbivore
Caluromys philander,Omnivore
Caluromysiops irrupta,Herbivore
Chacodelphys formosa,Omnivore
Chironectes minimus,Omnivore
Cryptonanus agricolai,Omnivore
Cryptonanus chacoensis,Omnivore
Cryptonanus guahybae,Omnivore
Cryptonanus ignitus,Omnivore
Cryptonanus unduaviensis,Omnivore
Didelphis albiventris,Omnivore
Didelphis aurita,Omnivore
Didelphis imperfecta,Omnivore
Didelphis marsupialis,Omnivore
Didelphis pernigra,Omnivore
Didelphis virginiana,Omnivore
Glironia venusta,Omnivore
Gracilinanus aceramarcae,Omnivore
Gracilinanus agilis,Omnivore
Gracilinanus dryas,Omnivore
Gracilinanus emiliae,Omnivore
Gracilinanus marica,Omnivore
Gracilinanus microtarsus,Omnivore
Hyladelphys kalinowskii,Omnivore
Lestodelphys halli,Carnivore
Lutreolina crassicaudata,Carnivore
Marmosa andersoni,Omnivore
Marmosa lepida,Omnivore
Marmosa mexicana,Omnivore
Marmosa murina,Omnivore
Marmosa quichua,Omnivore
Marmosa robinsoni,Omnivore
Marmosa rubra,Omnivore
Marmosa tyleriana,Omnivore
Marmosa xerophila,Omnivore
Marmosops bishopi,Omnivore
Marmosops cracens,Omnivore
Marmosops creightoni,Omnivore
Marmosops fuscatus,Omnivore
Marmosops handleyi,Omnivore
Marmosops impavidus,Omnivore
Marmosops incanus,Omnivore
Marmosops invictus,Omnivore
Marmosops juninensis,Omnivore
Marmosops neblina,Omnivore
Marmosops noctivagus,Omnivore
Marmosops ocellatus,Omnivore
Marmosops parvidens,Omnivore
Marmosops paulensis,Omnivore
Marmosops pinheiroi,Omnivore
Metachirus nudicaudatus,Omnivore
Micoureus alstoni,Omnivore
Micoureus constantiae,Omnivore
Micoureus demerarae,Omnivore
Micoureus paraguayanus,Omnivore
Micoureus phaeus,Omnivore
Micoureus regina,Omnivore
Monodelphis adusta,Carnivore
Monodelphis americana,Carnivore
Monodelphis brevicaudata,Carnivore
Monodelphis dimidiata,Omnivore
Monodelphis domestica,Carnivore
Monodelphis emiliae,Omnivore
Monodelphis glirina,Omnivore
Monodelphis iheringi,Omnivore
Monodelphis kunsi,Omnivore
Monodelphis maraxina,Omnivore
Monodelphis osgoodi,Omnivore
Monodelphis palliolata,Omnivore
Monodelphis reigi,Omnivore
Monodelphis ronaldi,Omnivore
Monodelphis rubida,Omnivore
Monodelphis scalops,Omnivore
Monodelphis sorex,Omnivore
Monodelphis theresa,Omnivore
Monodelphis umbristriata,Omnivore
Monodelphis unistriata,Omnivore
Philander andersoni,Omnivore
Philander deltae,Omnivore
Philander frenatus,Omnivore
Philander mcilhennyi,Omnivore
Philander mondolfii,Omnivore
Philander opossum,Omnivore
Thylamys cinderella,Carnivore
Thylamys elegans,Omnivore
Thylamys karimii,Carnivore
Thylamys macrurus,Carnivore
Thylamys pallidior,Omnivore
Thylamys pusillus,Omnivore
Thylamys sponsorius,Carnivore
Thylamys tatei,Carnivore
Thylamys velutinus,Omnivore
Thylamys venustus,Omnivore
Tlacuatzin canescens,Omnivore
Dinomys branickii,Herbivore
Allactaga balikunica,Omnivore
Allactaga bullata,Omnivore
Allactaga elater,Omnivore
Allactaga euphratica,Herbivore
Allactaga firouzi,Herbivore
Allactaga hotsoni,Herbivore
Allactaga major,Herbivore
Allactaga severtzovi,Herbivore
Allactaga sibirica,Carnivore
Allactaga tetradactyla,Herbivore
Allactaga vinogradovi,Herbivore
Allactaga williamsi,Herbivore
Allactodipus bobrinskii,Omnivore
Cardiocranius paradoxus,Herbivore
Dipus sagitta,Omnivore
Eozapus setchuanus,Herbivore
Eremodipus lichtensteini,Herbivore
Euchoreutes naso,Carnivore
Jaculus blanfordi,Herbivore
Jaculus jaculus,Herbivore
Jaculus orientalis,Herbivore
Napaeozapus insignis,Omnivore
Paradipus ctenodactylus,Herbivore
Pygeretmus platyurus,Herbivore
Pygeretmus pumilio,Herbivore
Pygeretmus zhitkovi,Herbivore
Salpingotulus michaelis,Herbivore
Salpingotus crassicauda,Omnivore
Salpingotus heptneri,Omnivore
Salpingotus kozlovi,Omnivore
Salpingotus pallidus,Omnivore
Sicista armenica,Omnivore
Sicista betulina,Omnivore
Sicista caucasica,Omnivore
Sicista caudata,Herbivore
Sicista concolor,Herbivore
Sicista kazbegica,Omnivore
Sicista kluchorica,Omnivore
Sicista napaea,Omnivore
Sicista pseudonapaea,Omnivore
Sicista severtzovi,Omnivore
Sicista strandi,Omnivore
Sicista subtilis,Omnivore
Sicista tianshanica,Omnivore
Stylodipus andrewsi,Herbivore
Stylodipus sungorus,Herbivore
Stylodipus telum,Omnivore
Zapus hudsonius,Omnivore
Zapus princeps,Omnivore
Zapus trinotatus,Omnivore
Boromys offella,Herbivore
Boromys torrei,Herbivore
Brotomys voratus,Herbivore
Callistomys pictus,Herbivore
Carterodon sulcidens,Herbivore
Clyomys bishopi,Herbivore
Clyomys laticeps,Herbivore
Dactylomys boliviensis,Herbivore
Dactylomys dactylinus,Herbivore
Dactylomys peruanus,Herbivore
Diplomys caniceps,Herbivore
Diplomys labilis,Herbivore
Echimys chrysurus,Herbivore
Echimys saturnus,Herbivore
Echimys vieirai,Herbivore
Euryzygomatomys spinosus,Herbivore
Heteropsomys insulans,Herbivore
Hoplomys gymnurus,Omnivore
Isothrix bistriata,Herbivore
Isothrix negrensis,Herbivore
Isothrix pagurus,Herbivore
Isothrix sinnamariensis,Herbivore
Kannabateomys amblyonyx,Herbivore
Lonchothrix emiliae,Herbivore
Makalata didelphoides,Herbivore
Makalata macrura,Herbivore
Makalata obscura,Herbivore
Makalata rhipidura,Herbivore
Mesomys hispidus,Herbivore
Mesomys leniceps,Herbivore
Mesomys occultus,Herbivore
Mesomys stimulax,Herbivore
Olallamys albicauda,Herbivore
Olallamys edax,Herbivore
Pattonomys occasius,Herbivore
Pattonomys semivillosus,Herbivore
Phyllomys blainvillii,Herbivore
Phyllomys brasiliensis,Herbivore
Phyllomys dasythrix,Herbivore
Phyllomys kerri,Herbivore
Phyllomys lamarum,Herbivore
Phyllomys lundi,Herbivore
Phyllomys mantiqueirensis,Herbivore
Phyllomys medius,Herbivore
Phyllomys nigrispinus,Herbivore
Phyllomys pattoni,Herbivore
Phyllomys thomasi,Herbivore
Phyllomys unicolor,Herbivore
Proechimys brevicauda,Herbivore
