Species,Diet
Raphicerus sharpei,Herbivore
Redunca arundinum,Herbivore
Redunca fulvorufula,Herbivore
Redunca redunca,Herbivore
Rupicapra pyrenaica,Herbivore
Rupicapra rupicapra,Herbivore
Saiga tatarica,Herbivore
Sylvicapra grimmia,Herbivore
Syncerus caffer,Herbivore
Tetracerus quadricornis,Herbivore
Tragelaphus angasii,Herbivore
Tragelaphus buxtoni,Herbivore
Tragelaphus derbianus,Herbivore
Tragelaphus eurycerus,Herbivore
Tragelaphus imberbis,Herbivore
Tragelaphus oryx,Herbivore
Tragelaphus scriptus,Herbivore
Tragelaphus spekii,Herbivore
Tragelaphus strepsiceros,Herbivore
Bradypus pygmaeus,Herbivore
Bradypus torquatus,Herbivore
Bradypus tridactylus,Herbivore
Bradypus variegatus,Herbivore
Burramys parvus,Omnivore
Cercartetus caudatus,Omnivore
Cercartetus concinnus,Omnivore
Cercartetus lepidus,Omnivore
Cercartetus nanus,Omnivore
Caenolestes caniventer,Omnivore
Caenolestes fuliginosus,Carnivore
Lestoros inca,Carnivore
Rhyncholestes raphanurus,Omnivore
Callibella humilis,Omnivore
Callimico goeldii,Omnivore
Callithrix aurita,Omnivore
Callithrix flaviceps,Omnivore
Callithrix geoffroyi,Omnivore
Callithrix jacchus,Omnivore
Callithrix kuhlii,Omnivore
Callithrix penicillata,Omnivore
Cebuella pygmaea,Omnivore
Leontopithecus caissara,Omnivore
Leontopithecus chrysomelas,Omnivore
Leontopithecus chrysopygus,Omnivore
Leontopithecus rosalia,Omnivore
Mico acariensis,Omnivore
Mico argentatus,Herbivore
Mico chrysoleucus,Omnivore
Mico emiliae,Omnivore
Mico humeralifer,Herbivore
Mico intermedius,Omnivore
Mico leucippe,Omnivore
Mico manicorensis,Omnivore
Mico marcai,Omnivore
Mico mauesi,Omnivore
Mico melanurus,Omnivore
Mico nigriceps,Omnivore
Mico saterei,Omnivore
Mico sp. nov.,Omnivore
Saguinus bicolor,Omnivore
Saguinus fuscicollis,Omnivore
Saguinus geoffroyi,Omnivore
Saguinus imperator,Omnivore
Saguinus inustus,Omnivore
Saguinus labiatus,Omnivore
Saguinus leucopus,Omnivore
Saguinus martinsi,Omnivore
Saguinus melanoleucus,Omnivore
Saguinus midas,Omnivore
Saguinus mystax,Omnivore
Saguinus niger,Omnivore
Saguinus nigricollis,Omnivore
Saguinus oedipus,Omnivore
Saguinus tripartitus,Omnivore
Calomyscus bailwardi,Omnivore
Calomyscus baluchi,Omnivore
Calomyscus elburzensis,Herbivore
Calomyscus grandis,Omnivore
Calomyscus hotsoni,Omnivore
Calomyscus mystax,Herbivore
Calomyscus tsolovi,Omnivore
Calomyscus urartensis,Herbivore
Camelus ferus,Herbivore
Lama guanicoe,Herbivore
Vicugna vicugna,Herbivore
Alopex lagopus,Carnivore
Atelocynus microtis,Omnivore
Canis adustus,Omnivore
Canis aureus,Omnivore
Canis latrans,Carnivore
Canis lupus,Carnivore
Canis mesomelas,Omnivore
Canis rufus,Carnivore
Canis simensis,Carnivore
Cerdocyon thous,Omnivore
Chrysocyon brachyurus,Omnivore
